Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Eritrea,81,86,90,93,98,96,94,95,95,95,95,94,94,94,94
Spain,95,96,98,98,97,96,98,96,97,96,97,97,97,96,97
Estonia,93,94,94,94,94,96,95,95,95,95,94,93,94,94,93
Ethiopia,30,32,35,37,40,44,46,50,54,58,61,65,62,59,61
European Union,93.84456837,95.31308754,95.57513673,96.75504234,96.36788421,96.34154739,96.98538327,96.92979502,96.94842759,96.60236324,96.92760173,96.59897743,96.97674196,96.51814398,96.13554895
Fragile and conflict affected situations,47.95368164,46.92672111,48.31942804,51.13964056,55.2545865,57.77938453,59.46386439,61.89124993,64.65008644,69.59310786,67.43167673,67.74608743,65.31676634,64.21673209,64.94461357
Finland,99,98,98,98,98,97,97,99,99,99,99,99,99,98,98
Fiji,90,91,93,94,95,96,98,99,99,99,99,99,99,99,99
France,97,97,97,97,98,98,99,99,99,98,99,99,99,99,98
Faroe Islands,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",85,75,84,92,78,94,67,79,85,91,85,84,81,81,77
Gabon,45,45,45,45,45,45,45,81,82,76,67,75,82,79,70
United Kingdom,91,91,91,91,92,91,92,92,92,93,94,95,95,95,95
Georgia,80,87,84,75,78,82,88,98,92,88,92,94,92,93,91
Ghana,88,79,78,80,80,84,84,94,93,94,94,91,92,90,98
Gibraltar,,,,,,,,,,,,,,,
Guinea,46,50,53,57,60,59,57,63,60,57,64,63,57,50,44
"Gambia, The",80,87,87,87,87,95,95,95,96,98,97,96,98,97,96
Guinea-Bissau,49,53,57,60,64,68,71,74,77,80,83,86,87,87,88
Equatorial Guinea,35,37,39,41,43,44,46,48,50,52,54,54,54,53,53
Greece,89,91,92,94,95,96,98,99,99,99,99,99,99,99,99
Grenada,97,96,98,97,83,99,91,96,99,99,97,95,97,97,97
Greenland,,,,,,,,,,,,,,,
Guatemala,81,77,82,84,87,87,89,85,95,92,94,88,96,85,73
Guam,,,,,,,,,,,,,,,
Guyana,88,85,91,90,91,93,93,94,93,98,95,93,97,98,98
High income,92.70234632,94.43010162,94.52262723,95.75475744,95.50295944,95.66305618,96.13231159,95.86932506,95.99235542,95.53790357,95.61895307,96.12919773,95.62501125,95.40374729,95.65493136
"Hong Kong SAR, China",,,,,,,,,,,,,,,
Honduras,94,96,95,92,94,98,95,94,93,97,97,97,98,98,98
Heavily indebted poor countries (HIPC),53.21790502,54.37265591,56.93817471,61.17251593,64.70409747,68.16122647,69.55847886,72.09830329,72.31289433,74.5699184,74.75465809,76.86016568,77.38335053,75.62358253,76.72160312
Croatia,93,94,95,94,96,96,96,96,96,96,97,96,96,96,95
Haiti,43,46,50,53,57,60,62,64,64,65,67,68,66,65,63
Hungary,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
IBRD only,76.90106817,77.62723217,76.65533644,77.83797834,79.24104126,80.15791842,81.42393502,81.1490447,84.51612063,86.58340919,87.94001887,89.23460785,89.74798823,89.54486799,89.41956814
IDA & IBRD total,70.86092611,71.44396579,70.95791825,72.62187515,74.77335662,75.61177293,76.84068885,76.9820319,79.77701606,82.03157698,82.40856144,83.74194369,83.62756024,83.1095149,83.51177156
IDA total,57.91782155,58.18196375,59.23481116,62.12743838,65.97683598,66.82948448,68.148224,69.15204885,70.97502631,73.67190478,72.36704268,73.95957574,72.86588532,71.94241589,73.40598772
IDA blend,52.4548218,51.88738711,52.27781632,54.00202344,56.13181408,56.21907662,56.75258458,56.06139528,61.04286595,64.59608577,61.73500827,63.87011247,61.65471493,61.88450112,63.12191515
Indonesia,75,76,70,71,71,72,72,73,77,78,81,81,87,92,88
IDA only,60.62912801,61.29821306,62.68673805,66.15548561,70.859614,72.10383052,73.82612941,75.70824424,75.9766877,78.2698518,77.78625477,79.08185754,78.58038381,77.0962816,78.69729568
Isle of Man,,,,,,,,,,,,,,,
India,58,59,59,61,63,65,65,64,70,74,79,82,82,83,85
Not classified,,,,,,,,,,,,,,,
