Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
East Asia & Pacific,8747770,9001700,9366090,9982120,10873000,11594140,12348680,13070020,13315920,13881370,14870050,15983960,16400380,16796060,16864800
Europe & Central Asia (excluding high income),3836410,3855840,3912270,4060870,4109400,4124030,4288250,4350670,4429090,4129690,4316660,4506620,4515530,4464930,4389600
Europe & Central Asia,8639930,8708600,8731890,8968080,9013880,8991770,9147060,9156100,9127610,8520850,8807230,8826700,8804070,8673230,8405960
Ecuador,42360,46750,47130,47710,50290,51790,54280,54400,55700,59010,61800,62780,63970,66980,67820
"Egypt, Arab Rep.",181320,193700,198580,202880,216080,234070,244690,259780,268900,274960,276450,283190,293980,291230,297280
Euro area,3268620,3302600,3302340,3352810,3357930,3337720,3310230,3278370,3209560,2997950,3052450,2947750,2918990,2871140,2745520
Eritrea,7870,7450,7240,7240,7160,7020,6880,7310,7350,7490,7500,7620,7530,7420,7300
Spain,369840,367810,384510,393610,409760,424480,418340,434660,401450,364620,349440,348820,342540,316480,314950
Estonia,17530,17980,17550,19480,19620,19770,18530,22540,21000,17590,21560,20690,19460,21870,20540
Ethiopia,83310,87340,96880,95260,97630,101160,106550,116900,121860,126670,131440,133090,140650,147510,155660
European Union,4209000,4254870,4235730,4323490,4320120,4288290,4283280,4247200,4155670,3881360,3960810,3849510,3788200,3711450,3565620
Fragile and conflict affected situations,1485280,1515580,1560400,1582010,1619290,1717380,1721770,1751780,1817190,1844030,1917980,1934470,2008160,2048190,2088180
Finland,68450,74230,76550,84650,80590,68380,79710,77860,69730,66060,74120,66100,60380,61120,57000
Fiji,2070,2340,2180,2290,2720,2520,2600,2500,2210,2180,2370,2370,2350,2510,2740
France,508560,513380,505830,510700,508440,509070,498790,491620,485350,467050,470790,453510,456320,457250,424130
Faroe Islands,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",200,220,210,230,230,230,210,210,190,210,190,200,210,220,220
Gabon,6030,5960,5780,5900,6050,6210,5750,5810,6030,6030,6700,7750,8030,8040,7860
United Kingdom,684830,695590,677780,685430,680780,674860,671960,656480,636520,581690,594560,551940,573410,554670,513800
Georgia,14020,11560,11010,11550,11640,12270,12630,13390,12510,13260,12980,14380,15260,16040,16630
Ghana,20390,20390,21820,22530,21470,23900,25180,25680,25640,27080,29080,32400,35340,38240,38820
Gibraltar,,,,,,,,,,,,,,,
Guinea,13180,14110,15270,15420,15470,16920,17230,17650,18240,18760,21070,22550,24010,24270,24990
"Gambia, The",2470,2260,2050,1960,1870,1740,1860,1930,2110,2490,2560,2260,2360,2440,2590
Guinea-Bissau,1730,2020,2070,2120,2040,1990,2160,2190,2110,2240,2340,2340,2530,2500,2500
Equatorial Guinea,10300,12580,15770,18800,22790,25520,26360,24520,25710,26160,25790,25530,25380,24270,22560
Greece,117920,118510,118890,122210,121820,123910,122290,125630,121790,114900,108190,105760,100600,92970,89910
Grenada,2070,2100,2130,2150,2140,2160,2190,2210,2240,2770,2260,2270,2410,2320,2260
Greenland,,,,,,,,,,,,,,,
Guatemala,20920,21690,22610,22890,23350,24710,24770,26220,25060,26400,26450,27070,27780,28900,30120
Guam,,,,,,,,,,,,,,,
Guyana,3640,3690,3580,3800,3830,3480,3300,3610,3760,3780,4010,4100,4360,4520,4730
High income,15617400,15652670,15534800,15665550,15857270,15854300,15828870,16001170,15693610,14924080,15434780,15287650,15138710,15164560,15013220
"Hong Kong SAR, China",,,,,,,,,,,,,,,
Honduras,13180,14090,14490,16320,17140,17100,18070,18750,18770,18710,18890,19920,20300,20880,21120
Heavily indebted poor countries (HIPC),821260,820650,863390,900710,912980,956580,966170,1002760,1036340,1054900,1102370,1142330,1193890,1242730,1287320
Croatia,25330,26130,27130,28230,28000,27890,28620,30120,29300,26740,26180,25890,23950,22830,22100
Haiti,7050,7220,7510,7550,7420,7510,7560,7970,7990,8040,8570,8970,8710,9000,9360
Hungary,71050,73240,71420,74340,73210,72300,71520,69350,67960,62110,62090,61350,57470,55130,55400
IBRD only,15598650,15988430,16508520,17510140,18650480,19659520,20739850,21797030,22436480,22910900,24314520,25612840,26265630,26829890,27090890
IDA & IBRD total,17549070,17964820,18548890,19612240,20802030,21901220,23042450,24184210,24884550,25355910,26836730,28208270,28909410,29542690,29874230
IDA total,1950420,1976390,2040370,2102100,2151550,2241700,2302600,2387180,2448070,2445010,2522210,2595430,2643780,2712800,2783340
IDA blend,823070,843980,858040,870420,897560,924690,962080,993840,1008440,979450,1005440,1041260,1037850,1068870,1089110
Indonesia,667880,681310,682150,703480,708910,703250,718590,731410,725820,744030,762400,822480,827220,796880,845070
IDA only,1127350,1132410,1182330,1231680,1253990,1317010,1340520,1393340,1439630,1465560,1516770,1554170,1605930,1643930,1694230
Isle of Man,,,,,,,,,,,,,,,
India,1717560,1741320,1763940,1808910,1894780,1969680,2065570,2209240,2309340,2452660,2564130,2671200,2814000,2875980,3048790
Not classified,,,,,,,,,,,,,,,
