Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Eritrea,76,84,83,92,96,95,94,92,91,93,95,96,98,94,90
Spain,94,96,97,98,97,97,97,97,98,98,95,97,97,95,96
Estonia,93,95,95,95,96,96,96,96,95,95,95,94,94,94,93
Ethiopia,36,35,36,35,35,40,44,49,54,59,64,68,62,55,54
European Union,89.12584303,90.25071897,91.19358259,92.18014376,92.63836093,92.7850455,93.64161185,94.22402784,94.24421556,94.1518856,94.01962469,94.13229044,94.61509884,94.23399929,93.91075172
Fragile and conflict affected situations,50.22962367,49.24636704,49.60885588,52.31368661,54.90542637,57.56560192,59.28025173,60.62438933,64.8958859,69.89593784,69.78939079,68.75051182,65.49515832,64.51014168,63.90719898
Finland,96,96,96,97,97,97,97,98,97,98,98,97,97,97,96
Fiji,81,83,85,86,88,90,92,94,95,95,96,96,96,96,96
France,84,85,86,87,88,87,89,90,89,89,89,89,91,90,91
Faroe Islands,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",85,84,88,91,85,96,83,92,86,86,80,92,91,91,83
Gabon,55,55,55,55,55,55,55,62,67,63,62,72,71,70,61
United Kingdom,88,85,85,82,81,82,85,86,86,86,89,90,92,93,93
Georgia,73,74,75,76,86,90,96,97,97,83,94,91,93,97,92
Ghana,90,78,78,80,83,83,85,95,86,93,93,91,88,89,92
Gibraltar,,,,,,,,,,,,,,,
Guinea,42,44,46,48,50,51,51,57,55,53,58,62,58,54,50
"Gambia, The",89,89,90,90,92,91,89,88,92,96,92,91,95,96,96
Guinea-Bissau,71,72,73,74,75,76,74,73,71,69,76,83,81,82,84
Equatorial Guinea,50,50,49,48,48,47,47,46,45,45,44,46,49,51,53
Greece,89,91,92,94,95,96,98,99,99,99,99,99,99,99,97
Grenada,92,99,96,99,74,99,98,98,99,98,95,95,94,94,94
Greenland,,,,,,,,,,,,,,,
Guatemala,86,91,92,94,95,93,95,86,96,92,93,89,93,85,67
Guam,,,,,,,,,,,,,,,
Guyana,86,92,93,89,88,92,90,96,95,97,95,98,99,99,99
High income,91.16500283,91.59954495,92.08595491,92.81798586,93.05815343,92.72382203,93.01215075,92.99863375,93.10647053,92.32880933,93.26286309,93.38984583,93.53460352,93.80645818,94.15283734
"Hong Kong SAR, China",,,,,,,,,,,,,,,
Honduras,98,99,97,95,92,96,95,94,93,98,98,97,97,97,96
Heavily indebted poor countries (HIPC),54.32589299,54.73760692,57.12176161,60.86428048,63.14990695,65.84288645,68.18732725,70.40209085,70.02633932,73.58527153,75.62642388,75.75333546,76.00282548,74.57145053,73.53648093
Croatia,93,94,95,94,96,96,95,96,96,95,96,96,95,94,94
Haiti,55,55,56,57,57,58,59,60,62,63,64,65,66,68,69
Hungary,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
IBRD only,76.36725397,77.46701798,76.25022179,77.51369565,79.3803041,80.70816229,83.09506345,83.60090856,85.31717478,87.66137081,89.00615246,90.3027404,90.2346413,90.19811789,90.33533588
IDA & IBRD total,70.44107745,71.19535755,70.43848744,72.07735068,74.05127767,75.53804426,77.38684388,78.08527401,79.8015845,82.54714907,83.32819835,83.94015033,83.49590896,83.50063906,83.5594114
IDA total,57.74218371,57.74376607,58.48016142,61.13980277,63.55884259,65.55035952,66.56078388,67.72117696,69.55741953,73.15461979,73.02073719,72.60845491,71.64705674,71.87868013,71.96862164
IDA blend,52.26051142,52.29282554,51.89932967,53.96171364,55.62659425,56.20994231,57.72784634,56.1199001,61.97029346,65.89190473,63.71123135,61.80217342,61.24441774,63.20458498,64.33894161
Indonesia,76,76,72,74,76,77,79,76,76,74,78,80,82,87,86
IDA only,60.46275741,60.44235735,61.74544343,64.69822806,67.49295348,70.1934037,70.96181677,73.53144742,73.37816286,76.83402096,77.76584847,78.09465546,76.94943489,76.3234505,75.89420525
Isle of Man,,,,,,,,,,,,,,,
India,56,57,56,60,64,68,69,70,72,78,82,84,83,83,85
Not classified,,,,,,,,,,,,,,,
Ireland,79,73,73,78,81,84,86,87,89,90,90,92,92,93,93
"Iran, Islamic Rep.",99,96,99,99,96,94,99,97,98,99,99,99,98,98,99
Iraq,86,82,77,73,69,69,62,64,76,81,75,80,74,72,68
Iceland,91,88,91,93,93,90,95,95,96,92,93,94,90,91,90
Israel,95,95,95,96,97,94,96,97,98,97,96,97,96,98,97
Italy,74,77,81,84,86,87,88,90,90,90,91,90,90,90,87
Jamaica,88,85,86,78,86,84,87,76,88,88,89,88,93,94,92
Jordan,94,99,95,96,99,95,99,95,95,95,98,98,98,97,98
Japan,96,98,98,98,98,98,97,96,95,94,94,94,96,95,98
Kazakhstan,99,95,95,99,99,99,99,99,99,99,99,99,96,99,99
Kenya,78,77,78,72,73,69,77,80,90,88,86,87,93,94,95
Kyrgyz Republic,98,99,98,99,99,99,97,99,99,99,99,97,98,99,96
Cambodia,65,59,52,65,80,79,78,79,89,92,90,88,84,79,83
Kiribati,80,76,88,72,56,85,61,93,72,82,89,90,91,91,88
St. Kitts and Nevis,99,90,99,98,98,99,99,99,99,99,99,99,95,99,93
"Korea, Rep.",95,96,97,96,99,99,99,92,92,93,98,99,99,99,99
Kuwait,99,99,97,97,97,99,99,99,99,99,98,99,99,99,94
Latin America & Caribbean (excluding high income),94.00252201,94.54194702,94.07463924,94.53630057,93.93874924,93.88189369,95.16237426,94.32714655,95.23424528,94.57107989,94.33106573,95.12340798,95.87561133,92.06807759,92.83576568
Lao PDR,42,50,55,42,36,41,48,40,52,59,64,69,72,82,87
Lebanon,71,65,59,53,58,63,69,74,79,80,80,81,81,82,82
Liberia,63,58,52,47,41,62,63,71,76,83,65,71,80,74,58
Libya,93,93,91,96,99,97,98,98,98,98,98,98,98,96,93
St. Lucia,88,89,98,90,95,94,94,94,99,99,95,91,99,99,99
Latin America & Caribbean,93.54163933,94.73960719,93.52327693,93.96156172,93.21829033,92.85167813,94.34298171,93.87597802,95.11840627,94.11788564,93.44827352,94.50685432,95.21025454,91.63226542,92.73917191
Least developed countries: UN classification,57.06910452,58.14989514,59.50382745,62.28067399,65.05911348,67.02757887,68.10499269,71.87812927,71.71974617,74.921634,76.50101494,77.12740765,76.05788783,75.28671166,74.89735305
Low income,50.43746798,50.68592517,52.80331831,56.13533199,59.27978495,62.06163785,64.31744909,67.09221365,67.20687153,70.79845996,73.0437256,73.57123397,71.69833773,70.21728546,69.37634809
Liechtenstein,,,,,,,,,,,,,,,
